57       	9100     	20       5        	1000     1.056868e+02 		1.056868e+02 		1.056868e+02 		1.344620e-16 		0.000000e+00 		1.448066e+01 	1.291528e+00
58       	9100     	20       10       	1000     8.551944e+01 		8.551763e+01 		8.551763e+01 		2.120524e-05 		0.000000e+00 		2.743795e+01 	1.291803e+00
59       	9100     	20       15       	1000     5.994238e+01 		5.994215e+01 		5.994215e+01 		3.868694e-06 		2.370762e-16 		4.744205e+01 	1.291650e+00
60       	100      	30       8        	363      1.179701e+01 		1.179701e+01 		1.179701e+01 		0.000000e+00 		3.011538e-16 		2.206330e-01 	3.002700e-02
61       	100      	30       15       	690      8.420472e+00 		8.420472e+00 		8.420472e+00 		0.000000e+00 		0.000000e+00 		7.945690e-01 	3.003000e-02
62       	100      	30       23       	102      4.713253e+00 		4.713253e+00 		4.713253e+00 		0.000000e+00 		0.000000e+00 		2.675020e-01 	3.003700e-02
63       	1100     	30       8        	1000     4.331539e+01 		4.331539e+01 		4.331539e+01 		5.574876e-12 		3.280786e-16 		3.638356e+00 	1.782800e-02
64       	1100     	30       15       	1000     3.444638e+01 		3.444637e+01 		3.444637e+01 		1.447585e-07 		4.125501e-16 		7.051233e+00 	1.784400e-02
65       	1100     	30       23       	1000     2.239462e+01 		2.239462e+01 		2.239462e+01 		3.172827e-16 		3.172827e-16 		1.750401e+01 	1.787400e-02
66       	2100     	30       8        	1000     6.039987e+01 		6.039987e+01 		6.039987e+01 		6.533569e-10 		0.000000e+00 		7.231611e+00 	6.349800e-02
67       	2100     	30       15       	1000     4.853500e+01 		4.853500e+01 		4.853500e+01 		1.134175e-07 		0.000000e+00 		1.364250e+01 	6.351700e-02
68       	2100     	30       23       	1000     3.214104e+01 		3.214104e+01 		3.214104e+01 		6.542573e-12 		4.421404e-16 		3.502498e+01 	6.358900e-02
69       	3100     	30       8        	982      7.361755e+01 		7.361755e+01 		7.361755e+01 		0.000000e+00 		1.930362e-16 		8.366317e+00 	1.887950e-01
70       	3100     	30       15       	1000     5.958854e+01 		5.958854e+01 		5.958854e+01 		2.384830e-16 		1.192415e-16 		1.795848e+01 	1.888400e-01
